economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
Sierra Leone,SLE,61.08,69.05,76.92,44.05,labor
Singapore,SGP,67.18,70.24,63.08,45.24,labor
Slovak Republic,SVK,84.01,75,53.58,50,labor
Tanzania,TZA,72.19,45.24,74.42,36.9,labor
Timor-Leste,TMP,68.58,52.98,49.17,27.98,labor
Togo,TGO,59.39,40.48,69.5,32.14,labor
Vanuatu,VUT,50.02,38.1,75,25.6,labor
Viet Nam,VNM,68.7,85.12,65.75,47.62,labor
West Bank and Gaza,WBG,63.69,32.74,63,28.57,labor
Bangladesh,BGD,36.92,43.46,47.57,8.95,market_competition
Barbados,BRB,41.1,31.79,44.61,6.48,market_competition
Bosnia and Herzegovina,BIH,57.77,38.69,60.21,9.26,market_competition
Botswana,BWA,56.95,45.64,50.17,10.34,market_competition
Bulgaria,BGR,69.2,67.27,56.56,23.92,market_competition
Cambodia,KHM,41.29,19.14,38.86,8.02,market_competition
Central African Republic,CAF,49.84,3.7,47.99,0,market_competition
Chad,TCD,46.53,12.19,38.84,4.78,market_competition
Colombia,COL,71.6,75.17,47.76,26.54,market_competition
Costa Rica,CRI,60.72,75.13,69.81,17.28,market_competition
Côte dIvoire,CIV,55.59,25.38,23.07,9.26,market_competition
Croatia,HRV,57.8,73.21,58.72,23.15,market_competition
El Salvador,SLV,61.24,41.35,45.98,14.35,market_competition
Estonia,EST,57.6,72.7,63.77,25.31,market_competition
Gambia,GMB,31.68,18.22,30.39,2.47,market_competition
Georgia,GEO,54.22,62.08,48.48,16.05,market_competition
Ghana,GHA,36.9,19.68,40,7.56,market_competition
Greece,GRC,71.03,69.64,51.86,21.3,market_competition
Hong Kong SAR China,HKG,39.26,71.49,62.64,25.15,market_competition
Hungary,HUN,68.4,62.97,58.14,16.98,market_competition
Indonesia,IDN,50.67,67.53,38.82,16.67,market_competition
Iraq,IRQ,29.54,2.78,31.81,2.78,market_competition
Kyrgyz Republic,KGZ,54.42,58.55,45.14,20.06,market_competition
Lesotho,LSO,31.85,9.5,35.24,6.48,market_competition
Madagascar,MDG,49.08,32.52,38.11,9.57,market_competition
Mauritius,MUS,48.42,58.53,64.12,12.96,market_competition
Mexico,MEX,60.11,65.5,29.46,17.28,market_competition
Montenegro,MNE,59,53.53,46.82,18.98,market_competition
Morocco,MAR,64.76,66.76,42.91,30.56,market_competition
Nepal,NPL,36.28,26.42,36.48,4.94,market_competition
New Zealand,NZL,39.56,62.95,59.09,26.54,market_competition
North Macedonia,MKD,63.18,58.57,65.02,10.8,market_competition
Pakistan,PAK,48.74,47.2,42.78,7.41,market_competition
Paraguay,PRY,50.69,56.19,38.13,20.99,market_competition
Peru,PER,61.93,64.46,64.89,21.3,market_competition
Philippines,PHL,52.09,54.85,43.46,12.96,market_competition
Portugal,PRT,65.99,64.61,53.95,19.6,market_competition
Romania,ROM,62.6,58.88,61.68,20.83,market_competition
Rwanda,RWA,61.28,70.27,60.49,12.65,market_competition
Samoa,WSM,49.94,40.01,63.55,21.45,market_competition
Seychelles,SYC,42.86,20.59,44.25,4.01,market_competition
Sierra Leone,SLE,38.9,23.97,27.63,6.48,market_competition
Singapore,SGP,42.12,75.13,69.62,26.54,market_competition
Slovak Republic,SVK,62.05,66.83,53.54,20.99,market_competition
Tanzania,TZA,60.12,53.77,30.98,18.6,market_competition
Timor-Leste,TMP,22.25,2.28,25.54,0,market_competition
Togo,TGO,57.93,29.03,36.77,18.98,market_competition
Vanuatu,VUT,25.83,7.35,35.86,5.86,market_competition
Vietnam,VNM,63.73,61.84,47.43,22.53,market_competition
West Bank and Gaza,WBG,30.42,14.29,31.16,8.95,market_competition
Bangladesh,BGD,44.75,48.09,76.25,10.94,taxation
Barbados,BRB,38.5,52.97,65.56,14.84,taxation
Bosnia and Herzegovina,BIH,51,25,64.75,3.13,taxation
Botswana,BWA,35,51.25,66.4,9.9,taxation
Bulgaria,BGR,46.5,61.77,71.6,22.4,taxation
Cambodia,KHM,50.13,41.39,84.3,10.42,taxation
Central African Republic,CAF,26,14.38,29.45,3.13,taxation
Chad,TCD,30.75,39.86,59.55,11.46,taxation
Colombia,COL,54,71.53,47.6,16.67,taxation
Costa Rica,CRI,40.63,41.98,44.05,10.94,taxation
Côte dIvoire,CIV,46,44.41,69.75,9.9,taxation
Croatia,HRV,31.5,35.63,52.45,10.42,taxation
El Salvador,SLV,47.75,43.4,37.95,11.46,taxation
Estonia,EST,71.75,68.4,72,22.92,taxation
"Gambia, The",GMB,49.5,28.68,38.85,9.38,taxation
Georgia,GEO,66.5,62.67,76.35,18.23,taxation
Ghana,GHA,50.5,60.94,58.9,10.42,taxation
Greece,GRC,57.5,64.9,45.65,16.15,taxation
"Hong Kong SAR, China",HKG,67,58.92,85.75,20.83,taxation
Hungary,HUN,40.75,61.56,75.75,22.92,taxation
Indonesia,IDN,66.75,61.67,51.3,13.54,taxation
Iraq,IRQ,12.75,17.15,58.3,7.47,taxation
Kyrgyz Republic,KGZ,36.5,34.48,68.8,9.9,taxation
Lesotho,LSO,47.5,53.87,79.2,12.24,taxation
Madagascar,MDG,46.25,43.78,64.95,7.94,taxation
Mauritius,MUS,48,71.01,88.65,16.15,taxation
Mexico,MEX,63,61.67,72,11.11,taxation
Montenegro,MNE,47.25,30.21,54.65,6.25,taxation
Morocco,MAR,54.25,56.56,32.25,9.9,taxation
Nepal,NPL,49.75,44.97,79.25,10.24,taxation
New Zealand,NZL,75,62.92,77.31,16.67,taxation
North Macedonia,MKD,44,36.67,59.85,12.5,taxation
Pakistan,PAK,31.25,57.74,83.45,13.02,taxation
Paraguay,PRY,34.25,55.8,75.75,10.94,taxation
Peru,PER,50.5,61.6,37.8,13.54,taxation
Philippines,PHL,57.75,47.59,64.65,6.51,taxation
Portugal,PRT,56,57.99,44.6,17.36,taxation
Romania,ROM,48.5,41.88,61.45,13.54,taxation
Rwanda,RWA,51.25,61.39,86.3,13.54,taxation
Samoa,WSM,55,50.83,65,9.9,taxation
Seychelles,SYC,59,46.01,70.05,9.9,taxation
Sierra Leone,SLE,34,30.03,60.31,4.69,taxation
Singapore,SGP,59.42,64.58,87.15,20.49,taxation
Slovak Republic,SVK,55.4,41.91,52.25,11.98,taxation
Tanzania,TZA,52.25,56.67,75.8,8.85,taxation
Timor-Leste,TMP,37.25,38.33,71.1,6.25,taxation
Togo,TGO,43.75,59.79,72.5,10.24,taxation
Vanuatu,VUT,51,12.03,87.6,2.34,taxation
Viet Nam,VNM,33.5,46.04,89.85,12.5,taxation
West Bank and Gaza,WBG,0,32.26,67,5.21,taxation
Bangladesh,BGD,52.81,50.29,83.21,16.74,utility_services
Barbados,BRB,57.43,62.68,68.33,19.79,utility_services
Bosnia and Herzegovina,BIH,60.76,48.23,69.75,18.34,utility_services
Botswana,BWA,51.42,64.89,66.25,19.15,utility_services
